Ontario Traffic Inc - Bicycle Counts,,,,,,,,
,,,,,,,,
Location:,College St from Spadina Ave to Huron St,,,,Date:,09/24/2010,,
,,,,,,,,
Direction:,WB,,,,Weather:,Clear,,
,,,,,,,,
Start Time (every 15 min),Gender,,Wearing Helmet,,Passenger On The Bike,,Riding On The Sidewalk,
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
16:15,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,X,
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,X,
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
16:30,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,X,
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
16:45,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,X,
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,X,
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
17:00,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,X,
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,X,
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,X,,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,X,
,X,,X,,,X,,X
17:15,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,X,,,X
,,X,X,,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,X,,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,X,
,,X,X,,X,,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,X,
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,X,
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,X,
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,X,
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
17:30,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,X,
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
17:45,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,X,
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
18:00,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,X,
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
18:15,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
18:30,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
18:45,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
